manufacturer,model,year,transmission,mileage,fuelType,mpg,engineSize,price
Audi, Q3,2016,Manual,32704,Diesel,60.1,2.0,14700
Audi, Q3,2018,Automatic,42209,Petrol,42.2,2.0,19100
Audi, A4,2017,Manual,17278,Petrol,48.7,1.4,18100
Audi, A1,2017,Manual,29515,Petrol,67.3,1.0,11400
Audi, A3,2014,Manual,43662,Diesel,67.3,2.0,11600
Audi, A4,2017,Automatic,45225,Diesel,62.8,2.0,17300
Audi, A6,2017,Manual,45491,Diesel,61.4,2.0,16400
Audi, Q5,2014,Manual,52267,Petrol,37.7,2.0,17100
Audi, A3,2014,Semi-Auto,40807,Petrol,50.4,1.8,11498
Audi, Q3,2014,Manual,65959,Diesel,49.6,2.0,11698
Audi, Q5,2014,Semi-Auto,47648,Petrol,35.8,2.0,18998
Audi, Q5,2017,Semi-Auto,27948,Petrol,40.9,2.0,25498
Audi, A4,2013,Manual,31169,Petrol,49.6,1.8,10498
Audi, A4,2013,Automatic,42011,Petrol,47.1,2.0,9498
Audi, A6,2015,Semi-Auto,56115,Diesel,50.4,3.0,19998
Audi, A6,2015,Semi-Auto,65835,Diesel,61.4,2.0,16798
Audi, A6,2017,Semi-Auto,63383,Diesel,45.6,3.0,23998
Audi, Q5,2017,Semi-Auto,34011,Petrol,34.0,3.0,36998
Audi, A5,2014,Semi-Auto,52132,Diesel,49.6,3.0,13998
Audi, A4,2015,Manual,38787,Diesel,55.4,2.0,15995
Audi, A1,2017,Manual,34554,Petrol,55.4,1.4,13495
Audi, Q5,2017,Semi-Auto,17502,Petrol,40.4,2.0,30985
Audi, TT,2019,Automatic,3000,Petrol,40.9,2.0,29485
Audi, A6,2015,Manual,34646,Diesel,61.4,2.0,16985
Audi, Q5,2017,Semi-Auto,18000,Diesel,56.5,2.0,26485
Audi, Q3,2018,Semi-Auto,17085,Petrol,47.9,1.4,23985
Audi, A1,2017,Manual,48166,Diesel,72.4,1.6,12485
Audi, Q5,2015,Semi-Auto,38421,Diesel,47.1,2.0,22485
Audi, A5,2015,Manual,46637,Diesel,61.4,2.0,16498
Audi, A3,2016,Manual,24468,Diesel,74.3,1.6,11998
Audi, Q5,2017,Automatic,29343,Diesel,47.1,2.0,24985
Audi, A3,2019,Manual,8449,Diesel,51.4,1.6,17985
Audi, A5,2017,Manual,34679,Diesel,65.7,2.0,20485
Audi, A3,2018,Semi-Auto,23860,Petrol,60.1,1.0,16985
Audi, A4,2018,Automatic,21009,Petrol,35.8,3.0,30985
Audi, A6,2019,Automatic,1881,Diesel,47.9,2.0,29985
Audi, A6,2019,Semi-Auto,688,Diesel,47.9,2.0,27985
Audi, A6,2019,Automatic,1863,Diesel,47.9,2.0,30985
Audi, Q7,2020,Semi-Auto,10,Diesel,33.2,3.0,62985
Audi, RS6,2016,Semi-Auto,49050,Petrol,29.4,4.0,44985
Audi, A4,2019,Semi-Auto,1024,Petrol,38.7,2.0,28985
Audi, A4,2019,Semi-Auto,448,Petrol,39.8,2.0,24985
Audi, A4,2019,Semi-Auto,476,Petrol,39.2,2.0,26985
Audi, A7,2019,Automatic,5201,Diesel,38.7,3.0,39985
Audi, A3,2019,Semi-Auto,2028,Petrol,42.2,1.5,21985
Audi, A6,2019,Automatic,3241,Diesel,39.2,3.0,45485
Audi, Q5,2019,Automatic,355,Diesel,39.2,2.0,33985
Audi, A5,2019,Automatic,18,Petrol,39.8,2.0,28985
Audi, A3,2019,Automatic,3122,Petrol,41.5,1.5,29985
Audi, Q2,2019,Manual,824,Petrol,40.9,1.5,28985
Audi, A6,2019,Semi-Auto,2811,Diesel,47.9,2.0,31985
Audi, A6,2019,Semi-Auto,27,Diesel,50.4,2.0,31985
Audi, A4,2019,Semi-Auto,4254,Petrol,38.2,2.0,29485
Audi, A1,2019,Semi-Auto,2252,Petrol,48.7,1.0,17985
Audi, Q2,2019,Automatic,3422,Diesel,47.9,1.6,20985
Audi, Q2,2019,Automatic,37,Diesel,47.9,1.6,23685
Audi, A4,2019,Semi-Auto,7299,Petrol,38.2,2.0,27985
Audi, Q2,2019,Semi-Auto,1414,Petrol,40.9,1.5,27985
Audi, Q5,2019,Automatic,5135,Diesel,38.2,2.0,36985
Audi, Q5,2019,Automatic,6024,Diesel,38.2,2.0,37985
Audi, Q5,2020,Semi-Auto,10,Petrol,32.1,2.0,37985
Audi, Q7,2019,Automatic,10,Diesel,33.2,3.0,49985
Audi, Q7,2019,Automatic,10,Diesel,33.2,3.0,59995
Audi, Q5,2020,Semi-Auto,10,Petrol,30.7,2.0,47895
Audi, A4,2020,Semi-Auto,10,Petrol,42.2,2.0,31985
Audi, Q7,2015,Automatic,47606,Diesel,47.9,3.0,29985
Audi, A1,2015,Semi-Auto,26625,Petrol,57.6,1.4,12485
Audi, A5,2018,Automatic,5071,Petrol,50.4,2.0,24985
Audi, A5,2015,Semi-Auto,28011,Petrol,34.9,3.0,21985
Audi, Q3,2019,Automatic,10,Diesel,47.1,2.0,34985
Audi, A5,2019,Automatic,10,Diesel,51.4,2.0,29985
Audi, Q3,2019,Automatic,10,Diesel,47.1,2.0,34485
Audi, A1,2019,Manual,10,Petrol,49.6,1.0,19685
Audi, A4,2019,Automatic,10,Diesel,53.3,2.0,34985
Audi, A7,2019,Semi-Auto,10,Diesel,38.2,3.0,43885
Audi, A6,2019,Automatic,2000,Diesel,47.9,2.0,35895
Audi, Q2,2019,Automatic,10,Petrol,43.5,1.5,26985
Audi, A6,2019,Automatic,3510,Diesel,36.2,3.0,46985
Audi, A3,2019,Automatic,10,Petrol,44.8,1.5,23985
Audi, A5,2019,Automatic,10,Petrol,39.8,2.0,28985
Audi, A5,2019,Automatic,1010,Petrol,39.8,2.0,27985
Audi, A6,2019,Semi-Auto,500,Diesel,47.9,2.0,28985
Audi, A4,2019,Automatic,10,Petrol,42.8,2.0,29985
Audi, A3,2019,Manual,10,Diesel,54.3,1.6,21995
Audi, A5,2019,Automatic,10,Petrol,39.8,2.0,31985
Audi, A5,2019,Automatic,10,Diesel,51.4,2.0,32485
Audi, A3,2019,Manual,10,Diesel,51.4,1.6,21285
Audi, Q7,2019,Automatic,1510,Diesel,33.2,3.0,56985
Audi, RS3,2019,Semi-Auto,10,Petrol,30.1,2.5,43785
Audi, A4,2016,Semi-Auto,29845,Petrol,45.6,2.0,18498
Audi, A3,2014,Semi-Auto,27355,Petrol,42.8,1.8,14995
Audi, A4,2016,Manual,20885,Diesel,64.2,2.0,17998
Audi, A3,2014,Automatic,10534,Petrol,56.5,1.2,10985
Audi, A3,2016,Manual,25895,Diesel,70.6,2.0,12995
Audi, A1,2016,Manual,32867,Petrol,67.3,1.0,11495
Audi, Q5,2015,Semi-Auto,42793,Diesel,47.1,2.0,18295
Audi, A6,2015,Semi-Auto,49039,Diesel,50.4,3.0,18998
Audi, Q2,2017,Manual,22501,Diesel,64.2,1.6,18485
Audi, A8,2017,Automatic,1420,Diesel,50.4,3.0,38985
Audi, A5,2019,Automatic,10,Petrol,40.4,2.0,29485
Audi, A5,2017,Semi-Auto,26939,Diesel,62.8,2.0,22998
Audi, A8,2014,Semi-Auto,24786,Diesel,47.9,3.0,18998
Audi, A4,2017,Manual,18761,Petrol,51.4,1.4,17698
Audi, A5,2019,Automatic,10,Petrol,40.4,2.0,27995
Audi, Q3,2019,Manual,10,Diesel,42.8,2.0,31985
Audi, A4,2019,Automatic,10,Petrol,38.7,2.0,30995
Audi, A3,2017,Semi-Auto,22295,Petrol,56.5,1.4,18998
Audi, Q2,2017,Manual,18068,Petrol,52.3,1.4,16995
Audi, A3,2018,Manual,25000,Petrol,42.2,1.5,19995
Audi, Q2,2017,Manual,23043,Petrol,55.4,1.0,14495
Audi, A5,2014,Semi-Auto,80902,Diesel,60.1,2.0,12998
Audi, A4,2019,Automatic,10,Diesel,50.4,2.0,32485
Audi, A1,2019,Manual,10,Petrol,48.7,1.0,20485
Audi, Q3,2019,Automatic,10,Diesel,47.1,2.0,34485
Audi, Q3,2016,Manual,26474,Diesel,52.3,2.0,18698
Audi, Q5,2013,Semi-Auto,65458,Diesel,44.1,3.0,15998
Audi, TT,2018,Manual,34170,Petrol,47.1,1.8,16498
Audi, Q5,2019,Semi-Auto,100,Petrol,33.2,2.0,31998
Audi, Q3,2019,Automatic,650,Diesel,47.1,2.0,35985
Audi, Q5,2019,Automatic,10,Diesel,38.2,2.0,37985
Audi, Q5,2019,Semi-Auto,10,Petrol,33.2,2.0,31998
Audi, A4,2019,Manual,2928,Petrol,41.5,2.0,18998
Audi, Q3,2018,Manual,7157,Petrol,51.4,1.4,19485
Audi, Q3,2016,Semi-Auto,31600,Diesel,50.4,2.0,19995
Audi, Q7,2016,Semi-Auto,46600,Diesel,39.2,4.0,47995
Audi, A3,2019,Manual,10,Diesel,56.5,2.0,23485
Audi, A5,2018,Semi-Auto,14078,Petrol,45.6,2.0,23998
Audi, A5,2015,Manual,13312,Diesel,57.6,2.0,17998
Audi, A6,2018,Semi-Auto,10,Diesel,50.4,2.0,28985
Audi, RS6,2015,Semi-Auto,20982,Petrol,29.4,4.0,46000
Audi, A6,2018,Semi-Auto,15600,Diesel,50.4,2.0,26995
Audi, A6,2019,Automatic,5429,Diesel,47.9,2.0,33985
Audi, Q2,2019,Automatic,2710,Petrol,40.9,1.5,30985
Audi, Q7,2019,Automatic,6423,Diesel,33.2,3.0,52985
Audi, A1,2017,Manual,11017,Petrol,67.3,1.0,12698
Audi, Q3,2017,Manual,16908,Petrol,51.4,1.4,17298
Audi, A4,2017,Manual,28801,Petrol,49.6,2.0,16498
Audi, A4,2017,Manual,23362,Petrol,50.4,1.4,16798
Audi, Q5,2013,Manual,50025,Petrol,37.7,2.0,15998
Audi, Q8,2018,Semi-Auto,8450,Diesel,32.8,3.0,63985
Audi, A6,2018,Semi-Auto,1790,Diesel,50.4,2.0,27985
Audi, A4,2018,Semi-Auto,10,Petrol,53.3,1.4,19485
Audi, A4,2018,Manual,10,Petrol,52.3,1.4,20985
Audi, A3,2018,Automatic,6754,Diesel,52.3,1.6,22285
Audi, Q3,2014,Semi-Auto,35423,Diesel,47.9,2.0,14500
Audi, A3,2017,Semi-Auto,16703,Petrol,41.5,2.0,25000
Audi, Q3,2017,Manual,37203,Petrol,51.4,1.4,15800
Audi, A3,2013,Semi-Auto,44405,Diesel,58.9,2.0,13500
Audi, Q3,2014,Manual,79389,Diesel,50.4,2.0,12000
Audi, A3,2015,Semi-Auto,61808,Diesel,57.6,2.0,13800
Audi, A1,2016,Manual,10491,Petrol,67.3,1.0,11000
Audi, A3,2018,Manual,19000,Petrol,49.6,2.0,19995
Audi, A1,2016,Manual,18900,Petrol,67.3,1.0,11650
Audi, A3,2014,Manual,50900,Diesel,68.9,2.0,11850
Audi, A6,2013,Manual,49000,Diesel,29.7,2.0,12495
Audi, A1,2015,Manual,23081,Petrol,39.8,2.0,15995
Audi, Q7,2020,Semi-Auto,826,Diesel,29.4,4.0,82995
Audi, A4,2019,Semi-Auto,5987,Petrol,38.2,2.0,25990
Audi, A6,2019,Semi-Auto,2977,Diesel,47.9,2.0,30995
Audi, Q5,2019,Automatic,7573,Diesel,39.2,2.0,34985
Audi, Q3,2019,Manual,3055,Diesel,42.8,2.0,31995
Audi, A4,2019,Automatic,22,Petrol,38.7,2.0,29985
Audi, A4,2019,Automatic,2250,Diesel,51.4,2.0,28485
Audi, Q5,2016,Semi-Auto,20547,Diesel,47.1,2.0,21498
Audi, Q5,2019,Automatic,10,Diesel,39.2,2.0,32895
Audi, A5,2016,Semi-Auto,18828,Petrol,35.8,3.0,22998
Audi, Q5,2019,Semi-Auto,28,Petrol,32.1,2.0,35998
Audi, Q7,2016,Automatic,38654,Diesel,47.9,3.0,29985
Audi, A3,2014,Manual,25764,Petrol,40.4,2.0,16485
Audi, TT,2016,Manual,28402,Diesel,62.8,2.0,19485
Audi, A1,2015,Manual,17152,Petrol,56.5,1.4,13495
Audi, A3,2016,Manual,29775,Petrol,60.1,1.4,14995
Audi, Q5,2017,Semi-Auto,7801,Petrol,34.0,3.0,39995
Audi, Q5,2015,Semi-Auto,60599,Diesel,42.8,3.0,22990
Audi, A1,2017,Manual,20670,Petrol,57.6,1.4,12495
Audi, A3,2019,Automatic,2257,Diesel,52.3,1.6,24985
Audi, A3,2019,Manual,4039,Diesel,51.4,1.6,24485
Audi, A3,2016,Manual,21241,Petrol,52.3,1.4,16485
Audi, Q3,2016,Manual,16945,Diesel,49.6,2.0,20485
Audi, A4,2018,Automatic,18010,Petrol,49.6,1.4,24985
Audi, A4,2017,Semi-Auto,29653,Diesel,62.8,2.0,19995
Audi, A5,2014,Semi-Auto,75159,Petrol,34.9,3.0,16000
Audi, Q3,2014,Semi-Auto,33842,Diesel,47.9,2.0,14998
Audi, A3,2015,Manual,42977,Diesel,67.3,2.0,13995
Audi, A4,2019,Semi-Auto,26,Diesel,47.9,2.0,27990
Audi, A1,2016,Manual,17454,Petrol,67.3,1.0,11995
Audi, A3,2018,Manual,17547,Petrol,56.5,1.5,15995
Audi, A3,2020,Semi-Auto,314,Petrol,34.9,2.0,35995
Audi, A1,2016,Manual,25010,Petrol,58.9,1.4,13585
Audi, A6,2019,Semi-Auto,3278,Diesel,47.9,2.0,31985
Audi, A7,2019,Automatic,1285,Diesel,39.2,3.0,32985
Audi, A6,2019,Automatic,4445,Diesel,47.9,2.0,30985
Audi, A4,2020,Semi-Auto,6998,Petrol,38.2,2.0,34798
Audi, A4,2020,Semi-Auto,6746,Diesel,45.6,2.0,40780
Audi, Q7,2015,Semi-Auto,21245,Diesel,47.9,3.0,34995
Audi, A4,2017,Manual,27394,Diesel,64.2,2.0,18995
Audi, A1,2016,Manual,29283,Petrol,67.3,1.0,12995
Audi, A1,2016,Manual,20905,Petrol,56.5,1.4,14495
Audi, A1,2017,Manual,24386,Petrol,67.3,1.0,12995
Audi, TT,2017,Semi-Auto,11621,Petrol,42.8,2.0,24995
Audi, A3,2019,Semi-Auto,3409,Petrol,43.5,1.5,20985
Audi, Q5,2016,Semi-Auto,30172,Diesel,42.2,3.0,31995
Audi, A4,2015,Manual,27016,Diesel,62.8,2.0,13995
Audi, A4,2020,Manual,7456,Petrol,40.9,2.0,31985
Audi, A6,2019,Semi-Auto,20,Diesel,55.4,3.0,29490
Audi, A4,2019,Semi-Auto,4781,Petrol,40.9,2.0,20495
Audi, Q3,2016,Semi-Auto,40254,Petrol,40.4,2.0,21995
Audi, TT,2019,Semi-Auto,12320,Petrol,40.9,2.0,24995
Audi, Q2,2018,Manual,16534,Petrol,49.6,1.4,23995
Audi, Q3,2017,Semi-Auto,20075,Petrol,42.2,2.0,22995
Audi, A3,2016,Manual,14401,Petrol,60.1,1.0,15995
Audi, A3,2016,Semi-Auto,19430,Petrol,47.9,2.0,19995
Audi, RS4,2013,Semi-Auto,28359,Petrol,26.4,4.2,26995
Audi, Q8,2019,Semi-Auto,16385,Diesel,33.6,3.0,49995
Audi, A1,2014,Manual,24764,Diesel,74.3,1.6,11995
Audi, A1,2014,Manual,26141,Petrol,53.3,1.4,11995
Audi, A5,2020,Semi-Auto,7532,Petrol,39.2,2.0,37331
Audi, A5,2020,Semi-Auto,7925,Diesel,45.6,2.0,39454
Audi, A5,2020,Semi-Auto,7639,Petrol,39.8,2.0,37507
Audi, Q3,2020,Semi-Auto,7914,Diesel,48.7,2.0,33462
Audi, Q5,2018,Semi-Auto,15706,Petrol,40.4,2.0,30995
Audi, A4,2019,Manual,4598,Petrol,38.2,2.0,25990
Audi, A8,2018,Semi-Auto,6588,Diesel,48.7,3.0,38995
Audi, Q7,2016,Semi-Auto,48248,Diesel,47.9,3.0,31995
Audi, A3,2019,Semi-Auto,4549,Petrol,34.5,2.0,30995
Audi, A1,2019,Manual,7564,Petrol,51.4,1.0,18995
Audi, A8,2018,Semi-Auto,11276,Diesel,48.7,3.0,41995
Audi, A4,2016,Manual,20141,Diesel,67.3,2.0,19995
Audi, A3,2016,Manual,16555,Petrol,60.1,1.4,16995
Audi, A1,2017,Manual,8608,Petrol,67.3,1.0,14495
Audi, Q3,2017,Manual,18380,Petrol,49.6,1.4,19995
Audi, Q3,2017,Semi-Auto,27136,Petrol,40.4,2.0,23995
Audi, A3,2016,Manual,36409,Petrol,60.1,1.4,13995
Audi, A6,2017,Semi-Auto,35219,Diesel,50.4,3.0,27995
Audi, Q5,2018,Semi-Auto,10252,Petrol,40.4,2.0,33995
Audi, A3,2018,Manual,16380,Diesel,67.3,1.6,17490
Audi, A3,2015,Semi-Auto,30530,Diesel,64.2,2.0,14990
Audi, Q5,2016,Semi-Auto,37129,Diesel,42.2,3.0,30995
Audi, A3,2017,Manual,36400,Petrol,61.4,1.4,13995
Audi, Q7,2018,Semi-Auto,8618,Diesel,32.8,3.0,47995
Audi, Q2,2018,Manual,9634,Petrol,50.4,1.4,21995
Audi, Q2,2017,Semi-Auto,18355,Diesel,68.9,1.6,19995
Audi, Q5,2017,Semi-Auto,28604,Petrol,40.9,2.0,26995
